가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
VMT5000040,서울특별시,중구,11140,3,소공로,,,37.55761,126.98323,6000,1200,,,,1,2,1,적색+녹색+황색+흰색,2,2단 10열,2009
VMT1000010,서울특별시,용산구,11170,3,한남대로,,,37.53623,127.00578,6000,1200,,,,3,2,1,적색+녹색+황색+흰색,2,2단 10열,2009
VMT5000050,서울특별시,중구,11140,3,장충단로,,,37.55518,127.00236,3360,2400,,,,3,2,1,적색+녹색+황색+흰색,2,10단 14열,2009
VML1000070,서울특별시,강남구,11680,3,올림픽대로,,,37.53414,127.03046,5040,3600,,,,2,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,15단 21열,2014
VML5000110,서울특별시,송파구,11710,3,올림픽대로,,,37.51658,127.08214,9000,1800,,,,2,2,1,적색+녹색+황색+흰색,2,3단 15열,2016
1001,서울특별시,종로구,11110,3,새문안로,,,37.569966,126.974291,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1002,서울특별시,종로구,11110,3,자하문로,,,37.58259,126.970414,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1003,서울특별시,종로구,11110,3,사직로,,,37.575837,126.97147,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1004,서울특별시,서대문구,11410,3,통일로,,,37.575092,126.957155,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1005,서울특별시,서대문구,11410,3,성산로,,,37.561669,126.93228,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
